,SLC2A2,ARG2,CLTRN,PCOLCE2,IAPP,PPP1R1A,GABRA2,OPRD1,CHL1,GLRA1,GLP1R,PDX1,NKX6-1,SLC30A8
GSE164416_DP052,10.688718566067132,11.118261393637328,11.605008940366096,0.0,19.86543164923981,11.476056790110476,6.313777614548218,7.312896538631445,9.712285156151276,7.445844323747304,7.992684948635799,8.886302482028205,9.917470985208212,16.111169720869487
GSE164416_DP054,10.30983660870668,9.698066255943427,10.290056773348637,0.8663525232800231,17.54213706273299,9.744485625617845,5.012381971126032,7.138713679288078,9.785426925133017,7.392993423104996,7.572139582712255,8.730876664577256,9.014162994065938,16.07125077262659
GSE164416_DP055,7.091054269162201,8.203077745370676,8.264837664795607,6.274557734519955,15.579495380182848,8.672204709199528,0.0,6.65008553615036,8.766720400423987,5.555621886299933,7.6428852023450045,8.12434542230683,8.041067153796268,15.555149021430164
GSE164416_DP058,7.555815379973397,7.367413304660193,8.606281993035557,5.0300364567958615,16.611039114080274,9.961835334157696,3.26875613146954,6.627884379155062,7.06017301686922,6.1314494189873345,7.641527468948605,8.648300935076154,9.105809439653958,15.12338719008856
GSE164416_DP064,6.80482744988251,7.485504908061039,8.499990265991602,3.7998259191881414,15.26117105822112,9.07747248315337,4.932992898673738,8.094832826638182,7.6928643616116705,7.935275316375757,6.983880803045665,8.975307108140782,9.66974560126792,13.825112662554744
GSE164416_DP069,10.449985900186082,9.318190571293648,9.740827296432665,0.0,18.468390424887456,11.14253765228852,0.0,6.823487962361608,9.565761189261575,7.618743498262902,8.4153179987911,9.934787499896952,9.94542390562037,15.343618159255058
GSE164416_DP070,6.824046308389454,8.561324306065204,8.655059591083884,5.881738102611229,16.27262239166303,9.243147428545791,0.0,6.626622643437325,7.537273331909407,5.352248799454334,6.268218064522875,8.236889969888447,9.335029435851808,14.741283636113325
GSE164416_DP079,9.746304472461972,9.824482826883663,9.323437417122612,0.0,18.197002536182552,11.183963402059256,6.762986853933622,8.32568751544646,9.414722166527776,7.776137917572208,8.35232234340581,9.824482826883663,10.224779128241654,15.27193285835334
GSE164416_DP083,7.804675015198765,7.078111338393554,8.242092425394087,5.304664507530038,15.38772471604752,9.771844807044504,3.6339634333487214,6.975526531859925,8.272366801426138,6.506046646879594,6.436450751368879,8.574586576113921,9.28165454326128,14.49541621897822
GSE164416_DP086,10.425014989453388,9.801092426162594,9.943897810116786,0.0,18.564418769087457,11.74045437752268,0.0,8.241653956148065,9.27212956732273,7.775699266502695,8.368630412947594,9.4162972329025,9.739762190885164,15.277943257285798
GSE164416_DP087,8.227500541327695,7.487615753800846,8.436675899546113,7.72738662327424,18.072621475322105,9.03344816768296,0.966722994692614,6.456971334074604,6.181494549375988,6.042183451871781,7.0930135941467,8.8366860227241,9.28591249601562,15.42923470735846
GSE164416_DP095,10.013180050552478,10.054391425991746,10.066912369445756,0.7765099327215893,17.426231459612765,9.847777216392094,6.560724625852304,7.514204274820294,10.169615433782406,7.668791883978622,7.803810572780293,8.92006026250232,9.40433233030249,16.462338423170443
GSE164416_DP097,7.739574593549686,7.829108669084446,8.518567502720806,1.8023781679577977,17.678567055303958,10.473317940846911,3.453094583103419,5.832353591386011,8.014034573133864,6.037527738920854,6.559155527648444,8.958104469235753,9.61371464730551,15.350691573686198
GSE164416_DP099,7.685670260860362,8.291489977295534,8.54413234964173,6.382879969582586,17.21906682999301,9.757389860846448,4.553790046809959,5.806535507243717,9.236377026045297,5.5990957319099985,7.004796726226983,8.909060501244818,9.76569554918648,15.177655498733838
GSE164416_DP102,7.088508005998055,7.191878220105384,7.928524223895912,3.6946007414504214,14.563935308371418,8.914611831167052,0.0,5.340513375230108,8.150070431151029,7.330133333666046,5.762991725682835,8.433122982765394,9.0458353171432,14.182054522269206
GSE164416_DP103,7.620544010597423,8.321725626541028,9.29066008962786,5.687271803716389,17.85374173898702,9.879698762520896,0.0,5.596027761122904,8.171804199439553,4.530183049410549,7.062151850458933,8.881229351092978,9.347714533742373,14.980688940453716
GSE164416_DP104,8.921207653955651,7.859317187240836,7.948788646033563,1.920568687143067,15.503943130300469,10.056835505641558,3.807358902908512,5.752982119729373,9.362887410837743,7.80643881033384,7.122647396858035,9.375043711960258,9.740266914902518,15.208029024649733
GSE164416_DP105,8.819014578425003,8.32775304467736,8.983553928838713,5.5995700594065925,17.259689281052758,10.15828684939958,2.820150132905379,6.490483437334874,7.77639960067935,5.372106766806302,7.154362857519523,9.062012615607328,9.530596321564197,15.594733239930488
GSE164416_DP107,7.315022155210987,6.573144503255818,8.184369070286923,4.428573537930146,16.52633632080509,9.86651380192261,1.1426800035101912,6.418755883887248,7.730530494775114,3.414577114935242,7.2012109660952195,7.786852735447021,8.698053189232207,15.17185927295508
GSE164416_DP109,7.381507340619838,7.275257526150693,8.164037457784906,4.974672545599258,15.426870958525075,9.278114372189195,1.428294925603627,7.963582935550222,9.347175985181488,6.187442989213359,6.782511472415985,9.254339107730512,9.98113464453172,15.240491956870668
GSE164416_DP111,7.922175247060227,8.411264031106985,9.402427668573958,5.967471805399971,16.376841836187932,8.171633994099038,0.0,6.9741288536186365,7.297384679945854,6.138878807776176,7.5122415040589265,8.314418006747832,8.593304768272638,15.360655296437494
GSE164416_DP118,8.580322609691052,9.24824227653678,9.691263801994038,6.3838931313511855,18.834775719856108,9.476128413664975,3.355622171393536,5.720367939526163,9.19163677956199,6.102927944371121,7.960862333357286,8.844662278294594,9.322270318270665,15.9970877892916
GSE164416_DP122,8.740160776017756,6.942708801326658,7.752496263182784,6.911028444228334,17.942615118334597,10.582873447508716,3.1724374031545355,6.101986637834524,7.3337254860114784,6.419707887217098,7.293339004915306,8.92068961040149,9.360618184148496,15.043120538967331
GSE164416_DP124,8.824685460685505,7.046002913253778,7.723584204788901,4.074102533258112,15.535348228569829,9.832873389940795,2.6510168935546656,5.86324221192604,8.668049614611405,6.46169430454561,7.093266431271721,8.726176870440746,9.212771680721511,14.489523399804504
GSE164416_DP125,10.231415738470654,9.355119072483308,9.899151498626166,3.2250164840639814,17.659520326090366,10.233726445753318,6.333589250648685,7.843421334693129,10.56385735604692,7.46235356853732,7.887135867803824,8.995399193377219,9.804913085745383,15.804992726113827
